date,ticker,close,volume,daily_return,return_5d_forward,return_10d_forward,drawdown_5d_forward,volume_zscore,rolling_volatility_20d,ai_trend_score,sec_ai_density,trend_bucket,volume_bucket,volatility_bucket,recent_return_bucket,sec_ai_bucket,state
2022-03-15,AAPL,155.08999633789062,92964300,0.029677342754030223,0.08852931401465058,0.15391070307314725,-0.004062090649940453,0.06899687099182289,0.02040014774538159,,,missing,medium,high,high,nan,trend=missing|volume=medium|volatility=high|recent_return=high|sec_ai=nan
2022-03-16,AAPL,159.58999633789062,102300200,0.02901541109199557,0.06654558944591638,0.11391696441974242,-0.012281418008985634,0.4677871158560641,0.0208488522646924,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-03-17,AAPL,160.6199951171875,75615400,0.006454030972694147,0.08373809373620134,0.08710002439582332,-0.005354256235184818,-1.0659092375641381,0.020969206076170355,,,missing,low,high,medium,nan,trend=missing|volume=low|volatility=high|recent_return=medium|sec_ai=nan
2022-03-18,AAPL,163.97999572753906,123511700,0.020918943546848645,0.06549582737524351,0.06299550006220578,-0.005915363129505358,1.498529787834825,0.02119437595218195,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-03-21,AAPL,165.3800048828125,95811400,0.008537682593916074,0.061797078963354624,0.07896962857056389,-0.002841947072357187,-0.10652142870476877,0.0212122270539049,,,missing,medium,high,high,nan,trend=missing|volume=medium|volatility=high|recent_return=high|sec_ai=nan
2022-03-22,AAPL,168.82000732421875,81532000,0.0208005946295855,0.06006396724159946,0.03696238575793398,-0.006930537714569418,-0.8845504048721444,0.021297557080179535,,,missing,low,high,high,nan,trend=missing|volume=low|volatility=high|recent_return=high|sec_ai=nan
2022-03-23,AAPL,170.2100067138672,98062700,0.008233617636201895,0.0444157056600234,0.009517625599479551,0.0,0.0272484158352618,0.02032883974378871,,,missing,medium,high,high,nan,trend=missing|volume=medium|volatility=high|recent_return=high|sec_ai=nan
2022-03-24,AAPL,174.07000732421875,90131400,0.02267787120671727,0.00310216156380716,-0.011087538653201334,-0.011891809255589969,-0.34119246845439244,0.02057973380134492,,,missing,medium,high,high,nan,trend=missing|volume=medium|volatility=high|recent_return=high|sec_ai=nan
2022-03-25,AAPL,174.72000122070312,80546200,0.003734094727035453,-0.002346632665091719,-0.026499569885899632,-0.01591116506338175,-0.9456371631288613,0.020461141430597803,,,missing,low,high,medium,nan,trend=missing|volume=low|volatility=high|recent_return=medium|sec_ai=nan
2022-03-28,AAPL,175.60000610351562,90371900,0.005036657947940837,0.01617309931194688,-0.05609342688581165,-0.0208428447317468,-0.26147099261504436,0.020462383016043622,,,missing,medium,high,medium,nan,trend=missing|volume=medium|volatility=high|recent_return=medium|sec_ai=nan
2022-03-29,AAPL,178.9600067138672,100589400,0.019134399166084615,-0.02179262968797846,-0.0631426163825809,-0.03922666522741569,0.3777123468500945,0.020438950181961756,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-03-30,AAPL,177.77000427246094,92633200,-0.006649544014093012,-0.03341397479128283,-0.04145812116132286,-0.04297687577224174,-0.21877537807576605,0.02023934182322097,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
