strategy,day,value
Buy-and-Hold,77,8841.353988647461
Buy-and-Hold,78,8841.353988647461
Buy-and-Hold,79,8841.353988647461
Buy-and-Hold,80,8841.353988647461
Buy-and-Hold,81,8841.353988647461
Buy-and-Hold,82,8841.353988647461
Buy-and-Hold,83,8841.353988647461
Buy-and-Hold,84,8841.353988647461
Buy-and-Hold,85,8841.353988647461
Buy-and-Hold,86,8841.353988647461
Buy-and-Hold,87,8841.353988647461
Buy-and-Hold,88,8841.353988647461
Buy-and-Hold,89,8841.353988647461
Buy-and-Hold,90,8841.353988647461
Buy-and-Hold,91,8841.353988647461
Buy-and-Hold,92,8841.353988647461
Buy-and-Hold,93,8841.353988647461
Buy-and-Hold,94,8841.353988647461
Buy-and-Hold,95,8841.353988647461
Buy-and-Hold,96,8841.353988647461
Buy-and-Hold,97,8841.353988647461
Buy-and-Hold,98,8841.353988647461
Buy-and-Hold,99,8841.353988647461
Buy-and-Hold,100,8841.353988647461
Buy-and-Hold,101,8841.353988647461
Buy-and-Hold,102,8841.353988647461
Buy-and-Hold,103,8841.353988647461
Buy-and-Hold,104,8841.353988647461
Buy-and-Hold,105,8841.353988647461
Buy-and-Hold,106,8841.353988647461
Buy-and-Hold,107,8841.353988647461
Buy-and-Hold,108,8841.353988647461
Buy-and-Hold,109,8841.353988647461
Buy-and-Hold,110,8841.353988647461
Buy-and-Hold,111,8841.353988647461
Buy-and-Hold,112,8841.353988647461
Buy-and-Hold,113,8841.353988647461
Buy-and-Hold,114,8841.353988647461
Buy-and-Hold,115,8841.353988647461
Buy-and-Hold,116,8841.353988647461
Buy-and-Hold,117,8841.353988647461
Buy-and-Hold,118,8841.353988647461
Buy-and-Hold,119,8841.353988647461
Buy-and-Hold,120,8841.353988647461
Buy-and-Hold,121,8841.353988647461
Buy-and-Hold,122,8841.353988647461
Buy-and-Hold,123,8841.353988647461
Buy-and-Hold,124,8841.353988647461
Buy-and-Hold,125,8841.353988647461
Buy-and-Hold,126,8841.353988647461
Buy-and-Hold,127,8841.353988647461
Buy-and-Hold,128,8841.353988647461
Buy-and-Hold,129,8841.353988647461
Buy-and-Hold,130,8841.353988647461
Buy-and-Hold,131,8841.353988647461
Buy-and-Hold,132,8841.353988647461
Buy-and-Hold,133,8841.353988647461
Buy-and-Hold,134,8841.353988647461
Buy-and-Hold,135,8841.353988647461
Buy-and-Hold,136,8841.353988647461
Buy-and-Hold,137,8841.353988647461
Buy-and-Hold,138,8841.353988647461
Buy-and-Hold,139,8841.353988647461
Buy-and-Hold,140,8841.353988647461
Buy-and-Hold,141,8841.353988647461
Buy-and-Hold,142,8841.353988647461
Buy-and-Hold,143,8841.353988647461
Buy-and-Hold,144,8841.353988647461
Buy-and-Hold,145,8841.353988647461
Buy-and-Hold,146,8841.353988647461
Buy-and-Hold,147,8841.353988647461
Buy-and-Hold,148,8841.353988647461
Buy-and-Hold,149,8841.353988647461
Buy-and-Hold,150,8841.353988647461
Buy-and-Hold,151,8841.353988647461
Buy-and-Hold,152,8841.353988647461
